label,text
0,Stocks rally as market optimism grows after earnings reports
0,Investors cheer strong quarterly results in financial sector
0,Tech shares climb amid AI investment surge
1,Local team wins championship after dramatic final match
1,Star striker scores hat-trick in season opener
1,Coach praises defense following big win
2,New policy proposal sparks debate in parliament
2,Election campaign heats up as candidates clash on economy
2,Government announces new climate targets
3,Researchers discover potential treatment for rare disease
3,Scientists release findings on vaccine effectiveness
3,Medical study links exercise to improved heart health
